HC11 Pin/Reg,Function (IC/OC/PA),QFP-64 Pin (needs more info) and references,ECU Connector,ECU Pin,Wire Colour i done this by hand by looking at snapon needs verifications with more cross references,Sensor/Actuator,Expected Signal,Test Method/Conditions,Status,Notes,ConfidenceLevel,ResolvableFrom,extravalidationsources,GM_Connector_Label,GM_Function_Name,Enhanced_Mod_Feature,PPK_Calibration,Verification_Sourceneeds more cross references to be more accurate another ,sources, second source, third source?
PA0/IC3,Crank 3X input (TIC3),20,C/D Pink 32-pin,B9,VIOLET,Crank position sensor REF HI,~3x pulses/rev 5V square wave,Scope while cranking - Arduino 75Hz=1500RPM,✅ CONFIRMED Topic 3641+8570,ISR at 0x180DB uses TIC3; Topic 3641: B9=REF HI (Violet); Topic 8570: 5V square wave Hz=(RPM/60)*3; S/C PCM D12=REF HI,HIGH,BOTH,"ISR 0x180DB-0x1815B; TIC3 vector 0xFFEA; PCMHacking Topic 3641 pinouts compaired.xlsx; Topic 8570 bench simulation; Topic 5204 JimStim C1=Crank+"
  → Complete Flash PCM vs S/C PCM pinout with wire colors A1-F16 all 55+ pins mapped
  → Flash PCM C10=LH Knock (Blue), C11=RH Knock (Lt Blue) vs S/C combined C12
  → Flash-to-SC conversion wiring guide included

Topic 4930 - VX VY Flash PCM Bench Setup Guide (hsv08) - markdown\Wiring\topic_4930_*.md
  → Grounds: A5, B5, C6, D6, E7, F7 = all to chassis ground
  → +12V Battery: C12, D12 = constant power
  → +12V Ignition: D16 = switched ignition
  → ALDL Serial: C13 PCM → Pin 9 OBD
  → ALDL Ground: D9 PCM → Pin 6 OBD (Diagnostics enable)
  → OBD grounds: Pins 4, 5 → Earth
  → Use 10A fuse between PSU and +12V distribution block

Topic 8564 - VY Bench Harness Battery Amps (antus) - markdown\Wiring\topic_8564_*.md  
  → Use 13.8V lab power supply (not 12V wall adapter - too noisy)
  → Minimum 2A capacity (ECU draws ~0.8A but needs headroom)
  → Cheap plug packs cause erase failures during flashing

Topic 7880 - VX/VU/VY N/A Bench Harness (Rhysk94) - markdown\Holden ALDL ECUs\topic_7880_*.md
  → Additional bench pinout confirmation for Flash PCM

Topic 8570 - VX/VY Flash ECU Bench Simulation (Chr0m3) - markdown\Hardware\topic_8570_*.md
  → REF HI (3X crank) = B9 (Violet) - needs 5V square wave simulation
  → REF LO (ground) = B10 (Black/Red) - signal ground
  → RPM formula: Hz = (RPM / 60) * 3 for 6-cylinder
  → Example: 1500 RPM = (1500/60)*3 = 75 Hz
  → EST output appears when valid 3X signal received
  → Arduino can simulate 3X signal with adjustable RPM input

Topic 5204 - JimStim Holden V6/V8 Pickups (gearhead_efi) - markdown\Holden ALDL ECUs\topic_5204_*.md
  → C1 = Crank+ (3X signal input)
  → C2 = Crank- (signal ground)
  → E2 = Cam+ (1X CAM reference)
  → JimStim bench simulator compatible with VY V6 ECU

WIDEBAND INTEGRATION TOPICS (Flash PCM Limitations):
Topic 7083 - VY Flash PCM Wideband Install - markdown\Gen 5 LT...\topic_7083_*.md
  → CRITICAL: Flash PCM has NO spare analog inputs (The1 confirmed)
  → Workaround options:
    a) Injector Monitor pin C14 (Red) - lose injector voltage compensation
    b) EGR feedback input C8 - lower resolution, signal issues before engine running
  → 0081 successfully logged wideband, boost, fuel pressure using repurposed inputs
  → Must edit TunerPro ADX calculation formula for sensor type

Topic 2518 - VS-VY Enhanced Factory Bins (The1) - markdown\Custom Code\topic_2518_*.md
  → Enhanced Mod for MEMCAL PCMs only (NOT Flash PCM)
  → A5 & B10 = Extra ECU Inputs (EEI), 0-5V range, 0-255 counts
  → Wideband formulas:
    Innovate: (((22.39-7.35)/255)*x)+7.35
    14point7: ((20-10)/255*x)+10
  → MAF limit extended to 16226 Hz / 510 g/s (vs stock 10082 Hz / 256 g/s)
  → CYLAIR limit raised to 1650 mg/s (Memcal only, NOT Flash)
  → Flash PCM Enhanced = MAF extension only, no CYLAIR or EEI

Topic 2249 - Wideband O2 & TunerPro V5 - markdown\Holden ALDL ECUs\topic_2249_*.md
  → D8 = Wideband input for $12P Memcal ECUs (may not apply to Flash $060A)

REVERSE ENGINEERING TOPICS:
Topic 8500 - 060A Disassembly (MidnightTuning) - markdown\Engineering...\topic_8500_*.md
  → VY Flash PCM limited to 750 CYLAIR max (vs Memcal 1650)
  → 128KB bank-switched binary (0-32KB common, 32-64KB engine, 92-128KB trans)
  → Ghidra HC11 support limited, use dhc11 (TechEdge) or TunerCat disassembler
  → Patching approach preferred over full reassembly (same as commercial tuners)
  → The1 confirmed no CYLAIR patch exists for Flash PCM

Topic 2460 - Mode 4 Command Generator - downloads_md\Holden ALDL ECUs\topic_2460\VX-VY_Mode 4.md
  → VX/VY Flash PCM Device ID = 0xF7
  → Mode 4 controllable outputs: Shift Sols A/B, Fans Hi/Lo, MIL, A/C Clutch,
    Fuel Pump, TCC Enable, Injectors 1-6, IAC motor, Spark timing
  → Useful for bench testing individual outputs without running engine

ENHANCED MOD GENERAL INFO:
downloads_md\Custom Code\topic_2518\Enhanced Mod General Information.md
  → Compatible MAF sensors:
    ACDelco 15900023/24 (with/without honeycomb): up to 12 kHz
    Delphi 25168491: 12-14 kHz range
    ACDelco 15865791: 15-16 kHz (requires full custom tune)
  → Stock MAF limit: 10082 Hz / 256 g/s
  → Enhanced MAF limit: 16226 Hz / 510 g/s

===============================================================================
DOCUMENT VERSION AND SOURCE TRACKING
===============================================================================
Last Updated: February 4, 2026
Primary Sources:
  - PCMHacking Forum Archive (FULL_ARCHIVE_V2) - converted Feb 2026
  - Topic 3641: The1's Pinout Comparison Spreadsheet (pinouts compaired.xlsx)
  - Topic 4930: hsv08 VX/VY Flash PCM Bench Setup Guide
  - Topic 8570: Chr0m3 Bench Simulation Research
  - Topic 7083: Flash PCM Wideband Integration Discussion
  - Topic 8500: 060A Disassembly & Limitations
  - Snap-on Holden Engine Troubleshooter Manual H034
  - MrModule ALDL Manual V104
  - VX_VY_VU Engine and trans TP5 V104.adx
  - VX VY_V6_$060A_Enhanced_v2.09a.xdf

Archive Locations:
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\downloads_md\Wiring\topic_3641\
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\markdown\Wiring\
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\markdown\Hardware\
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\markdown\Custom Code\
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\markdown\Holden ALDL ECUs\
  A:\repos\PCM_SCRAPING_TOOLS\FULL_ARCHIVE_V2\markdown\Engineering and Reverse Engineering\

===============================================================================
END OF VY_V6_PINOUT_MASTER_MAPPING.csv
===============================================================================
